function,dim,swarmsize,omega,phip,phig,max_iter,best_pos,best_val,total_time
quadratic,2,10,0.5,1.8,1.8,250,[-3.64202772e-22 -1.23810644e-22],1.4797273447222925e-43,0.20093727111816406
rastrigin,2,10,0.5,1.8,1.8,250,[3.59029156e-09 1.91751562e-10],0.0,0.235276460647583
quadratic,5,10,0.5,1.8,1.8,250,"[ 1.25487914e-18 -1.91813879e-18  3.01204208e+00  2.32843810e+00
 -5.12000000e+00]",5.253978094966086e-36,0.22170138359069824
rastrigin,5,10,0.5,1.8,1.8,250,"[-6.32789261e-10 -1.98991224e+00  3.72296255e-09 -7.69794896e-10
  2.77452559e-09]",3.979831190554087,0.2476210594177246
quadratic,2,10,0.5,1.8,1.0,60,[ 5.13440869e-08 -3.33296971e-09],2.647323949959744e-15,0.04671883583068848
rastrigin,2,10,0.5,1.8,1.0,60,[ 9.94935862e-01 -3.00794432e-05],0.9949593394562157,0.06475567817687988
quadratic,5,10,0.5,1.8,1.0,60,"[ 4.69288109e-09  2.65384518e-09  2.42950338e+00 -4.21041972e+00
  3.10493573e+00]",2.9066027096886356e-17,0.05885648727416992
rastrigin,5,10,0.5,1.8,1.0,60,"[ 9.30740001e-04 -9.94850147e-01 -9.94381932e-01  9.95138069e-01
  4.53959674e-04]",2.9851645835160454,0.05634450912475586
quadratic,2,10,0.5,1.8,1.0,250,[-2.49725001e-28 -9.13484748e-29],7.070712001077475e-56,0.19202280044555664
rastrigin,2,10,0.5,1.8,1.0,250,[3.68444502e-09 1.05244398e-09],0.0,0.22694182395935059
quadratic,5,10,0.5,1.8,1.0,250,"[ 7.90671542e-30 -3.83446750e-31  1.82699837e+00  1.10833647e+00
 -5.92283246e-01]",6.2663180203604044e-59,0.20596098899841309
rastrigin,5,10,0.5,1.8,1.0,250,"[-1.99134646e+00 -9.94240274e-01  8.51965536e-05  7.23522173e-05
  9.95433182e-01]",5.970306116002796,0.23158526420593262
quadratic,2,10,0.5,1.0,1.8,60,[-3.06181744e-07 -4.70543268e-08],9.596137012681257e-14,0.04224991798400879
rastrigin,2,10,0.5,1.0,1.8,60,[-7.71096582e-07 -1.70129681e-07],1.2370549029583344e-10,0.05431032180786133
quadratic,5,10,0.5,1.0,1.8,60,"[ 7.83749277e-08  4.46535390e-08  2.15788850e+00  1.32082014e+00
 -4.43230723e+00]",8.13656783043428e-15,0.055191755294799805
rastrigin,5,10,0.5,1.0,1.8,60,"[-1.84733037e-03 -9.87656302e-01  1.94133605e-03  1.99104148e+00
 -1.98900193e+00]",8.967029586443104,0.055722713470458984
quadratic,2,10,0.5,1.0,1.8,250,[-4.16091944e-28 -1.19902378e-27],1.6107905347101288e-54,0.20465421676635742
rastrigin,2,10,0.5,1.0,1.8,250,[ 1.64789125e-09 -2.80856661e-09],0.0,0.22905755043029785
quadratic,5,10,0.5,1.0,1.8,250,"[3.82359853e-27 4.74255803e-27 2.53855905e+00 2.73334294e-01
 2.50683740e+00]",3.711176239199541e-53,0.20894694328308105
rastrigin,5,10,0.5,1.0,1.8,250,"[ 9.98632198e-01 -1.97798574e+00  1.99022639e+00  1.33390544e-04
 -1.13175219e-04]",8.985429193653395,0.2601888179779053
quadratic,2,10,0.5,1.0,1.0,60,[-2.04863692e-07  9.28270043e-07],9.036544048465583e-13,0.052083730697631836
rastrigin,2,10,0.5,1.0,1.0,60,[ 1.29615491e-05 -4.73406602e-05],4.779542877031417e-07,0.05946540832519531
quadratic,5,10,0.5,1.0,1.0,60,"[-1.20808463e-09 -2.95620642e-10  4.00987106e-01 -3.51653471e+00
  2.63172758e+00]",1.5468600324383255e-18,0.048247337341308594
rastrigin,5,10,0.5,1.0,1.0,60,"[-9.99758634e-01  1.86876478e+00  1.76492800e-03 -5.53553516e-03
 -1.00020017e+00]",8.71022611289412,0.05073142051696777
quadratic,2,10,0.5,1.0,1.0,250,[-2.72114950e-34  1.22839777e-34],8.913615706807353e-68,0.19454741477966309
rastrigin,2,10,0.5,1.0,1.0,250,[-0.99495864  0.99495864],1.9899181141865796,0.23374581336975098
