function,dim,swarmsize,omega,phip,phig,max_iter,best_pos,best_val
rastrigin,2,10,0.5,1.8,1.0,60,[-9.94957147e-01  4.57408942e-07],0.9949590575753646
quadratic,5,10,0.5,1.8,1.0,60,"[ 9.85496256e-09  1.71682048e-08 -4.19293209e+00  5.06289753e-01
 -1.41859582e+00]",3.918675415274545e-16
rastrigin,5,10,0.5,1.8,1.0,60,"[-4.41443660e-03 -1.45508376e-03  3.69056161e-03 -1.02999769e+00
 -2.73798823e-04]",1.244998295475149
quadratic,2,10,0.5,1.8,1.0,250,[-3.33447721e-32 -1.11058649e-29],1.2334134694288299e-58
rastrigin,2,10,0.5,1.8,1.0,250,[-2.23537854e-09  6.93835131e-10],0.0
quadratic,5,10,0.5,1.8,1.0,250,"[-4.64901347e-29 -3.17170207e-29 -1.21854574e+00 -1.75172202e+00
  2.87348486e-01]",3.167302028629302e-57
rastrigin,5,10,0.5,1.8,1.0,250,"[ 7.43000657e-05 -1.98960513e+00  9.68942725e-06 -9.94960034e-01
  1.98995827e+00]",8.954641644800446
quadratic,2,10,0.5,1.0,1.8,60,[ 2.54705002e-08 -2.82265697e-08],1.4454856143421379e-15
rastrigin,2,10,0.5,1.0,1.8,60,[ 1.64649604e-06 -2.30050806e-06],1.5877859027568775e-09
quadratic,5,10,0.5,1.0,1.8,60,"[-3.47461426e-07  1.40574424e-07  5.12000000e+00  4.02388816e+00
 -4.25910788e+00]",1.4049061143431482e-13
rastrigin,5,10,0.5,1.0,1.8,60,"[ 9.94811030e-01 -4.77248198e-05  9.95179152e-01  9.94852038e-01
 -1.98990874e+00]",6.964725032217295
quadratic,2,10,0.5,1.0,1.8,250,[-7.13395995e-28 -4.33122530e-28],6.965289717714524e-55
rastrigin,2,10,0.5,1.0,1.8,250,[1.09305868e-09 1.77396231e-09],0.0
quadratic,5,10,0.5,1.0,1.8,250,"[3.05759349e-31 5.85714853e-28 4.03647652e-01 7.19392803e-02
 5.09681283e+00]",3.4306198264568946e-55
rastrigin,5,10,0.5,1.0,1.8,250,[ 2.98485573 -0.00486138  1.98990762 -0.00760964 -0.99696474],13.946363892338042
quadratic,2,10,0.5,1.0,1.0,60,[-7.42229352e-10  6.46653920e-09],4.236703361605553e-17
rastrigin,2,10,0.5,1.0,1.0,60,[-9.57754382e-09  1.98991223e+00],3.9798311905541155
quadratic,5,10,0.5,1.0,1.0,60,"[-3.04619442e-09 -5.24876926e-09  4.38973284e+00 -2.14444433e+00
 -2.39510343e+00]",3.682887914585651e-17
rastrigin,5,10,0.5,1.0,1.0,60,[ 2.98339662  0.99382286  0.99435287 -0.98679406  0.99406169],12.948554141252494
quadratic,2,10,0.5,1.0,1.0,250,[-1.06459182e-35  1.63958756e-35],3.821603114428012e-70
rastrigin,2,10,0.5,1.0,1.0,250,[1.45714566e-09 1.06443977e-09],0.0
quadratic,5,10,0.5,1.0,1.0,250,"[-1.05932926e-33 -4.48822145e-35  7.46576944e-01 -2.83237438e+00
 -3.68113410e+00]",1.1241928994664036e-66
rastrigin,5,10,0.5,1.0,1.0,250,[ 0.99502339  0.99496127  1.98959163  0.9946429  -1.98985725],10.94458110218416
quadratic,2,25,0.4,1.8,1.8,60,[-6.87671709e-09 -8.92530737e-09],1.2695034967516567e-16
rastrigin,2,25,0.4,1.8,1.8,60,[1.84603879e-05 8.19028441e-05],1.3984383784304555e-06
quadratic,5,25,0.4,1.8,1.8,60,"[-7.14043898e-09 -3.67142927e-11 -3.32026972e+00  5.12000000e+00
  2.67608483e+00]",5.0987216717283316e-17
rastrigin,5,25,0.4,1.8,1.8,60,[-0.99234131 -1.00116087  0.99683758 -0.98478611  0.00544695],4.015908779845461
quadratic,2,25,0.4,1.8,1.8,250,[8.07908442e-32 9.52696971e-32],1.5603475695721173e-62
rastrigin,2,25,0.4,1.8,1.8,250,[-3.24060387e-09  1.29352760e-09],0.0
quadratic,5,25,0.4,1.8,1.8,250,"[-1.41190961e-31  1.96437523e-31  2.03540992e+00  2.17583596e-01
 -2.52114544e+00]",5.8522587977323996e-62
rastrigin,5,25,0.4,1.8,1.8,250,"[9.94958640e-01 9.94958637e-01 1.38893991e-09 9.64024480e-10
 2.44299792e-09]",1.9899181141865796
quadratic,2,25,0.4,1.8,1.0,60,[ 4.03481934e-11 -1.75038286e-11],1.93436072871174e-21
rastrigin,2,25,0.4,1.8,1.0,60,[-0.00051809  0.00184832],0.0007310057175118345
quadratic,5,25,0.4,1.8,1.0,60,"[ 1.53119095e-11  3.84769118e-11  6.82708278e-01  5.11853650e+00
 -4.01910552e+00]",1.714927311091584e-21
rastrigin,5,25,0.4,1.8,1.0,60,"[-9.87411407e-01 -9.18514882e-05 -9.93773815e-01  9.92018132e-01
 -9.94649634e-01]",3.9931365285676463
quadratic,2,25,0.4,1.8,1.0,250,[-8.45394526e-40 -8.40681340e-40],1.4214370194625128e-78
rastrigin,2,25,0.4,1.8,1.0,250,[ 1.69490964e-10 -5.10318961e-10],0.0
quadratic,5,25,0.4,1.8,1.0,250,"[-1.10335354e-40  1.01127884e-41  1.46701574e+00  4.58055638e+00
  5.12000000e+00]",1.2276158936465673e-80
rastrigin,5,25,0.4,1.8,1.0,250,"[ 5.91443623e-06  9.94953040e-01 -9.94924543e-01 -4.97288120e-05
  6.25724429e-06]",1.9899188562317676
quadratic,2,25,0.4,1.0,1.8,60,[5.67494552e-10 6.01038657e-10],6.832975332095183e-19
rastrigin,2,25,0.4,1.0,1.8,60,[-0.00092936  0.00017849],0.0001776735394365403
quadratic,5,25,0.4,1.0,1.8,60,"[-3.60897156e-10 -2.35511778e-10 -2.00613706e+00  3.61786507e+00
  5.12000000e+00]",1.857125549160702e-19
rastrigin,5,25,0.4,1.0,1.8,60,"[9.94955471e-01 9.30979935e-06 9.94954780e-01 2.16824372e-05
 9.94989130e-01]",2.9848774710607273
quadratic,2,25,0.4,1.0,1.8,250,[-1.28623548e-36  3.38999480e-37],1.7693223650546794e-72
rastrigin,2,25,0.4,1.0,1.8,250,[ 1.63038617e-09 -9.94958638e-01],0.9949590570932898
