function,dimensions,swarmsize,omega,phip,phig,max_iter,best_position,best_value,total_time(s)
rastrigin,2,10,0.5,1.8,1.0,60,[-1.12993167e-07  3.03764697e-07],2.084021843984374e-11,0.016398191452026367
quadratic,5,10,0.5,1.8,1.0,60,"[-7.48916589e-09 -2.58360432e-08 -2.15518190e+00 -5.00209107e+00
  4.39927533e+00]",7.235887359687538e-16,0.012636899948120117
rastrigin,5,10,0.5,1.8,1.0,60,[-1.00334452  0.99355076  0.9981043  -0.00874335  0.00158663],3.0168436969555827,0.018531084060668945
quadratic,2,10,0.5,1.8,1.0,250,[-9.07734477e-29  4.56681870e-29],1.0325402114387592e-56,0.04886341094970703
rastrigin,2,10,0.5,1.8,1.0,250,[1.72848163e-09 6.25434929e-11],0.0,0.06548738479614258
quadratic,5,10,0.5,1.8,1.0,250,"[-8.67108214e-31  3.31749477e-29 -1.50085021e+00 -2.45932619e+00
 -3.16017415e+00]",1.1013290304287719e-57,0.05367588996887207
rastrigin,5,10,0.5,1.8,1.0,250,"[-9.94990625e-01  1.98991504e+00  1.02278046e-04  9.95274022e-01
 -3.85420699e-04]",5.9698007795891215,0.08070850372314453
quadratic,2,10,0.5,1.0,1.8,60,[-1.08986556e-08  8.92247157e-08],8.079830591688479e-15,0.010001420974731445
rastrigin,2,10,0.5,1.0,1.8,60,[7.74050414e-08 1.98991220e+00],3.979831190555494,0.01526498794555664
quadratic,5,10,0.5,1.0,1.8,60,"[-3.10494896e-08  2.21345383e-08 -8.76250428e-01  4.16560814e-01
  6.37041507e-01]",1.4540085886639706e-15,0.011739253997802734
rastrigin,5,10,0.5,1.0,1.8,60,[ 0.96369906  0.99289871 -0.00502793  0.99480593 -0.99274901],4.179411198482136,0.019527196884155273
quadratic,2,10,0.5,1.0,1.8,250,[1.88143523e-30 6.90604685e-31],4.016733344036678e-60,0.04341602325439453
rastrigin,2,10,0.5,1.0,1.8,250,[-9.94958638e-01 -1.25479883e-09],0.9949590570932898,0.07543373107910156
quadratic,5,10,0.5,1.0,1.8,250,"[-8.31276117e-28 -1.96823000e-28  2.21941897e+00  5.12000000e+00
  5.12000000e+00]",7.297592752023806e-55,0.04038715362548828
rastrigin,5,10,0.5,1.0,1.8,250,"[-9.94958640e-01  9.94958638e-01  3.97978386e+00  3.12186549e-09
 -8.41455456e-10]",17.90916190664811,0.08465981483459473
quadratic,2,10,0.5,1.0,1.0,60,[-4.08760993e-09 -3.12574672e-09],2.647884747025964e-17,0.011074304580688477
rastrigin,2,10,0.5,1.0,1.0,60,[ 8.96230891e-08 -9.94958513e-01],0.9949590570979439,0.021336793899536133
quadratic,5,10,0.5,1.0,1.0,60,"[-7.47658177e-09 -3.06164359e-09 -2.94303085e+00  1.83928963e+00
 -4.05815062e+00]",6.527293650424318e-17,0.011869668960571289
rastrigin,5,10,0.5,1.0,1.0,60,[-1.98919213  0.98275715 -0.9938941   0.99547432  1.99024144],10.97442406853424,0.019292593002319336
